ProductKey;ProductName;SubCategory;Category;StandardCost;Color;ListPrice;DaysToManufacture;ProductLine;ModelName;Photo;ProductDescription;StartDate
1;Adjustable Race;Tires and Tubes;Accessories;24.623599999999996;NotSet;43.614819999999945;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/1.jpg;NotSet;1998-06-01
2;Bearing Ball;Tires and Tubes;Accessories;24.623599999999996;NotSet;43.614819999999945;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/2.jpg;NotSet;1998-06-01
3;BB Ball Bearing;Tires and Tubes;Accessories;28.7579;NotSet;64.57551899999994;1;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/3.jpg;NotSet;1998-06-01
4;Headset Ball Bearings;Road Bikes;Components;30.620300000000007;NotSet;61.54829299999995;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/4.jpg;NotSet;1998-06-01
5;Blade;Tires and Tubes;Accessories;28.7579;NotSet;64.57551899999994;1;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/5.jpg;NotSet;1998-06-01
6;LL Crankarm;Saddles;Components;41.0057;Black;107.48586399999989;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/6.jpg;NotSet;1998-06-01
7;ML Crankarm;Road Frames;Components;334.4500999999997;Black;517.0244990000009;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/7.jpg;NotSet;1998-06-01
8;HL Crankarm;Forks;Components;42.66160000000001;Black;109.59996399999991;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/8.jpg;NotSet;1998-06-01
9;Chainring Bolts;Tires and Tubes;Accessories;25.639400000000006;Silver;47.37946599999997;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/9.jpg;NotSet;1998-06-01
10;Chainring Nut;Tires and Tubes;Accessories;25.639400000000006;Silver;47.37946599999997;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/10.jpg;NotSet;1998-06-01
11;Chainring;Tires and Tubes;Accessories;28.053600000000024;Black;49.73204999999997;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/11.jpg;NotSet;1998-06-01
12;Crown Race;Tires and Tubes;Accessories;24.623599999999996;NotSet;43.614819999999945;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/12.jpg;NotSet;1998-06-01
13;Chain Stays;Chains;Components;33.90579999999999;NotSet;79.30095299999996;1;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/13.jpg;NotSet;1998-06-01
14;Decal 1;Tires and Tubes;Accessories;24.623599999999996;NotSet;43.614819999999945;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/14.jpg;NotSet;1998-06-01
15;Decal 2;Tires and Tubes;Accessories;24.623599999999996;NotSet;43.614819999999945;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/15.jpg;NotSet;1998-06-01
16;Down Tube;Tires and Tubes;Components;34.5921;NotSet;80.12701099999997;1;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/16.jpg;NotSet;1998-06-01
17;Mountain End Caps;Mountain Frames;Accessories;154.51309999999984;NotSet;173.49881900000008;1;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/17.jpg;NotSet;1998-06-01
18;Road End Caps;Road Frames;Components;335.50359999999955;NotSet;537.980577000001;1;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/18.jpg;NotSet;1998-06-01
19;Touring End Caps;Road Bikes;Components;34.7704;NotSet;80.16355299999996;1;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/19.jpg;NotSet;1998-06-01
20;Fork End;Forks;Components;36.30089999999999;NotSet;88.45986199999997;1;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/20.jpg;NotSet;1998-06-01
21;Freewheel;Tires and Tubes;Accessories;25.639400000000006;Silver;47.37946599999997;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/21.jpg;NotSet;1998-06-01
22;Flat Washer 1;Tires and Tubes;Accessories;24.623599999999996;NotSet;43.614819999999945;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/22.jpg;NotSet;1998-06-01
23;Flat Washer 6;Tires and Tubes;Accessories;24.623599999999996;NotSet;43.614819999999945;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/23.jpg;NotSet;1998-06-01
24;Flat Washer 2;Tires and Tubes;Accessories;24.623599999999996;NotSet;43.614819999999945;0;NotSet;NotSet;http://www.avising.com/me/LearnPBI/DataSources/ProductImages/24.jpg;NotSet;1998-06-01
