Date,Predicted Mean,Lower CI,Upper CI,Days
2018-12-30,3690.902,-4909.689352044816,12291.493352044816,0
2018-12-31,1227.638,-7372.953352044816,9828.229352044815,1
2019-01-01,3976.9629999999997,-4623.628352044816,12577.554352044815,2
2019-01-02,8142.64,-457.9513520448154,16743.231352044815,3
2019-01-03,5490.631,-3109.9603520448154,14091.222352044817,4
2019-01-04,5191.8835,-3408.707852044816,13792.474852044816,5
2019-01-05,4958.6326,-3641.958752044816,13559.223952044817,6
2019-01-06,198.272,-8402.319352044815,8798.863352044817,7
2019-01-07,4345.49,-4255.101352044816,12946.081352044816,8
2019-01-08,2099.6079999999997,-6500.983352044816,10700.199352044816,9
2019-01-09,2274.6240000000003,-6325.967352044816,10875.215352044816,10
2019-01-10,3525.516,-5075.075352044816,12126.107352044815,11
2019-01-11,5912.782,-2687.8093520448156,14513.373352044815,12
2019-01-12,830.4000000000001,-7770.191352044816,9430.991352044815,13
2019-01-13,1177.616,-7422.975352044816,9778.207352044816,14
2019-01-14,1026.4720000000002,-7574.119352044816,9627.063352044815,15
2019-01-15,1626.8,-6973.7913520448155,10227.391352044815,16
2019-01-16,313.14500000000004,-8287.446352044815,8913.736352044816,17
2019-01-17,99.19200000000001,-8501.399352044817,8699.783352044815,18
2019-01-18,3754.43,-4846.161352044815,12355.021352044816,19
2019-01-19,7606.8060000000005,-993.7853520448152,16207.397352044816,20
2019-01-20,2648.4300000000003,-5952.161352044815,11249.021352044816,21
2019-01-21,568.7280000000001,-8031.863352044816,9169.319352044815,22
2019-01-22,10122.346,1521.7546479551838,18722.937352044813,23
2019-01-23,307.9200000000001,-8292.671352044816,8908.511352044816,24
2019-01-24,1509.756,-7090.835352044815,10110.347352044815,25
2019-01-25,13361.422,4760.830647955185,21962.013352044814,26
2019-01-26,564.84,-8035.751352044816,9165.431352044816,27
2019-01-27,1781.666,-6818.925352044816,10382.257352044815,28
2019-01-28,5012.034,-3588.557352044816,13612.625352044815,29
